"BUDGET TRACKER - Retail Manager (50/30/20)",,,,,,
,,,,,,
"Month","2026-03",,,,,
,,,,,,
"SUMMARY","FCFA","Note",,,,
"Total Income (Sales)","=SUM(B17:B66)","License sales",,,,
"Total Income (Services)","=SUM(B67:B80)","Data entry + Training",,,,
"Commissions Paid","=SUM(B81:B95)","Reseller payouts (negative)",,,,
"NET Revenue","=B6+B7-B8","After commissions",,,,
"Reinvest (50%)","=B9*0.5","Tools / growth / sales",,,,
"Salary (30%)","=B9*0.3","Your pay",,,,
"Emergency (20%)","=B9*0.2","Do not touch",,,,
"Spent on Reinvest","=SUM(D100:D130)","From spending log",,,,
"Spent on Salary","=SUM(D131:D145)","From spending log",,,,
"Balance Left","=B9-B13-B14","Unspent funds"
,,,,,,
"--- INCOME LOG (Licenses) ---",,,,,,
"Date","FCFA","Source","Reinvest 50%","Salary 30%","Emergency 20%","Notes"
"2026-03-03",50000,"License - Phone Store (family)","=B18*0.5","=B18*0.3","=B18*0.2","Solo sale - full 50k"
"2026-03-03",50000,"License - Proforma guy","=B19*0.5","=B19*0.3","=B19*0.2","Solo sale - full 50k"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"--- SERVICE INCOME ---",,,,,,
"Date","FCFA","Service",,,"Notes",
"2026-03-03",15000,"Data entry - Phone Store",,,"300+ items to register",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"--- COMMISSIONS PAID ---",,,,,,
"Date","FCFA","Reseller","Rate","Sale Amount","Type","Notes"
"2026-03-03",7500,"Reseller A (royalty)","15%",50000,"Co-sell","You were present"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"--- SPENDING LOG (Reinvest) ---",,,,,,
"Date","Description","Bucket","FCFA","Makes Money?","OK?","Notes"
"2026-03-03","External SSD","Reinvest",45000,"YES","YES","Backups + speed"
"2026-03-05","Print 200 flyers","Reinvest",5000,"YES","YES","Niamana"
"2026-03-10","Moto-taxi installs","Reinvest",3000,"YES","YES","3 shops"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"--- SPENDING LOG (Salary items) ---",,,,,,
"Date","Description","Bucket","FCFA","N/A","OK?","Notes"
"2026-03-03","Weekly pay","Salary",30000,"N/A","YES","Week 1"
"2026-03-03","Emergency fund","Emergency",20000,"N/A","YES","Separate account"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"--- COMMISSION REFERENCE ---",,,,,,
"Reseller Type","Rate","Equity","When",,,,
"Royalty Reseller (sells alone)","15%","2%","They do all the work",,,,
"Royalty Reseller (co-sell)","15%","2%","You are present",,,,
"Commission-Only (sells alone)","30%","0%","Cash only",,,,
"Referral Partner","10%","0%","Just sends leads",,,,
"Bulk Buyer (Sikasso)","Wholesale 30-35k","0%","Pays upfront",,,,
,,,,,,
"--- SERVICE FEES ---",,,,,,
"Service","Price","Who Does It",,,,
"Data Entry (product registration)","15,000 FCFA","Reseller",,,,
"Training Session (30 min)","15,000 FCFA","You (founder)",,,,
"On-site Visit","15,000 FCFA","You or Reseller",,,,
"1st Training","FREE","You (founder)",,,,
,,,,,,
"--- RULE REMINDER ---",,,,,,
"Rule:","Spend on things that make you more money",,,,,
"Laptop?","YES","Code faster",,,,
"AI credits?","YES","Ship faster",,,,
"Sneakers?","NO","No business return",,,,
"Hiring?","YES","Frees your time",,,,
"Night out?","MAYBE","Only if networking",,,,
